,Agric,Food ,Soda ,Beer ,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Gold ,Mines,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  
199107,5.34,5.59,-3.67,9.1,0.69,4.85,1.96,4.95,4.97,9.9,8.14,8.35,4.92,4.15,10.3,6.6,0.37,4.51,6.92,1.44,0.18,-1.33,5.75,-3.88,6.36,5.06,3.99,3.2,3.83,1.49,6.12,7.17,1.79,0.6,-1.05,6.99,5.64,5.81,5.68,1.25,9.41,1.02,0.24,7.29
199108,5.99,6.44,-0.68,5.96,1.54,-0.47,1.6,4.48,9.27,-0.35,3.59,3.07,0.74,6.89,0.45,3.71,0.45,0.89,6.49,0.2,2.14,-3.42,3.15,-9.26,-0.9,1.73,3.53,0.84,0.86,1.69,0.08,11.16,2.87,3.55,0.63,5.26,1.29,-1.51,4.95,0.81,8.03,0.13,0.38,4.51
199109,-4.55,-3.32,-8.42,-4.61,8.48,-1.59,-4.12,0.97,3.05,-2.3,-0.1,-0.26,-3.14,1.82,4.15,-4.69,-4.58,-3.32,2.2,-3.94,-5.84,-2.3,0.32,4.72,7.36,-0.7,3.73,0.54,1.89,0.19,0.46,2.41,-7.27,-2.85,-1.91,0.51,-0.05,-2.05,-4.26,2.41,-1.09,0.32,-1.07,0.98
199110,-1.64,-1.12,-0.44,2.09,11.61,1.35,-0.05,1.35,-4.17,-1.69,9.09,7.06,1.79,1.43,-1.22,-2.96,-0.93,-0.97,-1.11,0.03,-0.1,-2.35,3.29,2.74,-1.01,2.02,1.23,2.11,0.49,2.83,-2.41,10.33,3.57,4.33,4.12,6.15,7.61,2.68,-3.13,2.31,0.89,4.72,3.08,-0.08
199111,-4.45,-0.06,-2.08,3.03,1.62,-8.52,-5.11,-2.1,-2.91,-6.6,-1.94,-2.3,-5.88,-3.68,-4.85,-2.11,-8.76,-7.67,-6.19,-9.5,-5.5,-8.7,-5.91,3.34,-4.31,-7.65,1.89,-4.92,-3.18,-3.19,-5.05,-2.66,-4.47,-5.69,-6.68,-4.04,-8.55,-3.8,-0.52,-4.15,-8.48,-1.96,-2.2,-3.52
199112,8.72,15.41,12.61,15.41,12.16,7.17,12.53,12.16,15.98,19.12,16.33,16.27,10.28,13.22,13.33,18.25,13.18,7.07,13.16,9.1,18.28,5.98,9.76,-1.88,0.74,1.95,5.01,9.83,10.49,11.99,3.66,16.35,11.02,12.32,9.97,4.1,14.2,11.7,13.23,12.94,15.46,11.25,1.4,12.55
199201,0.82,-5.7,1.51,-3.06,1.08,13.86,2.8,7.62,3.39,-1.06,-3,-6.3,1.04,-0.75,10.09,2.81,8.1,3.22,7.89,4.6,-0.84,10.65,3.96,8.79,10.38,-4.13,-4.58,-2.62,1.51,0.64,6.12,7.09,10.71,3.88,3.03,-11.87,-1.17,-1.7,-0.28,10.52,1.68,-1.66,9.16,4.11
199202,-3.28,-0.76,2.33,1.5,6.41,11.16,5.92,-1.46,2.13,-4.93,-5.42,-1.96,2.8,3.06,8.33,1.92,-0.39,7.01,1.7,4.81,3.2,14.32,-3.28,-2.97,5.9,-0.56,-1.23,-1.21,3.24,2.89,5.87,2.93,3.83,0.04,1.9,7.32,5.07,3.16,2.91,-0.25,5.25,0.2,6.56,3.28
199203,-2.68,-2.95,-3.36,1.35,-2.73,-1.2,-1.11,-2.08,-4.37,-5.96,-4.55,-5.56,0.79,-0.38,3.88,-1.03,-8.51,-1.33,-4.8,-1.9,-2.89,1.45,-0.85,-12.51,-0.16,-2.77,-0.53,-0.98,-3.06,-1.98,-5.01,-7.14,-6.39,-0.96,-0.3,-2,-2.4,-0.55,-1.35,-0.92,-1.52,-1.04,-3.42,1.33
199204,-3.9,-1.31,-1.31,1.9,1.06,-2.57,4.55,0.89,-5.25,-5.37,-4.44,-1.53,6.33,0.63,1.14,0.67,-1.53,3.72,-7.97,1.62,0.64,11.1,2.1,-3.89,-4.05,9.56,2.68,6.85,-1.76,-1.17,0.76,-5.54,-0.44,-0.51,3.18,8.59,2.95,-0.95,-4.57,3.24,2.78,-0.56,-8.86,-0.34
199205,3.33,0.9,-2.3,3.62,6.45,1.25,-0.21,0.51,-1.97,-3.59,3.18,1.16,-0.88,-2.94,-1.68,0.36,0.96,0.91,-6.76,0.09,-0.41,-1.84,-1.97,10.95,7.46,3.22,2.54,-1.7,-1.85,0.26,-0.5,3.22,-0.91,-1.31,-0.71,0.35,-0.29,1.49,-0.22,0.89,3.07,1.62,0.06,3.09
199206,0.58,-0.03,-2.49,-5.49,-1.94,-3.92,-3.03,-6.46,-4.42,-5.82,-4.54,-4.62,-4.66,-6.13,-7.41,-5.38,-6.74,1.96,-4.65,-5.88,1.83,4.44,-4.7,10.03,7.8,-3.45,0.54,1.24,0.27,-2.46,-2.05,-9.92,-3.02,-4.74,-1.58,-1.28,-3.96,-2.93,-1.81,-2.21,0.5,3.08,-5.22,-0.49
199207,-0.35,5.72,-0.02,4.55,2.44,1.64,2.57,6.87,6.4,5.92,3.83,6.02,4.21,4.69,7.18,4.35,7.25,-0.19,9.68,2.55,-0.94,-0.74,3.3,1.7,-4.36,5.35,6.69,5.37,2.02,3.67,1.83,3.66,4.92,2.16,-1.01,-1.64,0.74,3.95,4.29,0.47,1.89,6.2,-1.64,3.18
199208,0.25,2.09,-7.37,1.28,-3.86,-1.89,-1.1,-3.14,-1.03,-2.28,-2.94,-3.47,-4.78,-3.89,-1.49,0.52,-1.3,-9.14,-1.23,-3.53,-2.75,-10.87,-4.55,-5.93,-2.44,2.58,-0.49,-1.05,-2.29,-1.75,-8.04,-2.46,-1.75,-1.71,-3.82,-1.14,-5.97,-2.22,0.05,-2.75,-4.08,-2.06,2.1,-3.53
199209,-3.4,2.92,4.58,-2.11,6.37,5.49,-0.65,3.31,5.78,-7.15,-2.53,-5.06,0.05,4.55,2.04,3.2,1.82,-0.43,-4.63,2.91,6.53,-1.57,-2.21,-1.35,1.9,0.09,0.82,1.81,-0.6,1.51,-1.22,6.73,7.31,5.86,0.24,3.11,4.16,2.61,4.29,5.7,1.6,6.13,3.89,1.92
199210,-2.49,-2.72,-2.55,2.04,1.66,4.85,0.58,2.47,0.73,4.82,4.3,3.01,0.77,-0.5,0.1,1.04,-0.74,1.56,9.88,-2.54,-0.67,0.41,3.43,-9.17,1.32,-3.48,-0.42,-0.53,5.21,3.61,-3.43,9.13,5.98,-1.69,2.88,-1.39,6.09,2.74,4.5,3.07,2.87,2.58,-0.65,3.29
199211,3.21,3.67,7.52,0.7,5.53,8.24,7.21,4.5,10.55,10.61,4.45,4.37,2.18,4.7,5.79,1.64,4.43,6.99,4.4,3.65,8.02,8.2,0.97,-11.91,-0.27,-2.61,-0.24,4.29,6.87,4.83,7.13,5.52,6.11,5.36,3.6,5.99,5.34,6.7,7.04,9.05,7.3,5.14,2.2,7.69
199212,6.44,-1.15,1.56,2.9,-4.15,4.07,-0.77,-0.98,-1.2,-0.72,2.14,-2.07,0.96,0.88,5.15,0.15,-1.86,3.98,-2.65,1.2,3.22,3.2,8.77,3.81,4.57,1.93,2.7,5.57,2.45,2.34,-4.7,-0.98,6.41,2.53,0.06,0.19,1.25,3.12,0.18,-0.35,4.81,4.19,3.74,5.05
199301,1.92,-3.27,-1.48,0.86,5.42,6.44,4.69,2.15,-1.32,-1.35,-3,-8.01,-2.26,2.01,2.58,0.07,3.63,6.52,-1.96,3.97,0.66,9.6,-3.73,-5.67,-1.79,2.76,2.45,1.16,-0.16,-0.89,4.2,5.28,8.11,0.93,-0.36,-0.97,2.92,2.2,-0.2,0.2,4.22,2.95,5.15,3.72
199302,-1.36,-2.23,6.9,-2.35,-9.68,-3.38,-0.25,3.19,-7.06,-15.21,-12.11,-7.63,0.98,2.37,3.46,6.95,3.99,-0.51,-2.57,3.71,-2.31,0,2.06,5.85,3.28,6.03,6.21,5.72,0.7,-0.06,-1.87,-4.62,3.9,2.26,1.66,-5.72,0.44,-1.71,-1.77,-0.14,1.88,-0.52,3.65,2.04
199303,1.34,-2.59,8.56,2.46,2.63,4.33,1.1,1.08,5.04,5.58,-1.08,0.64,2.14,4.4,2.94,2.37,-1.35,-0.83,4.66,2.1,6.38,6.27,3.76,17.66,8.11,4.12,1.77,3.26,-0.9,2.14,-1.1,4.44,4.63,1.71,-2.28,2.39,4.05,2.11,2.95,3.79,3.87,4.37,6,5.73
199304,-4,-12.38,-11.58,-9.18,1.32,-3.59,-1.77,-5.03,-6.41,0.25,-9.69,3.36,3.31,-4.58,-4.8,-2.4,-0.38,-2.25,0.04,2.51,0.2,3.78,2.03,9.3,-7.89,1.2,-0.15,-2.87,-3.86,-4.56,-3.29,-6.5,-2.27,-1.31,-0.95,1.05,0.44,-3.88,-9.26,-6.34,-4.71,-2.81,-2.64,-3.01
199305,2.43,2.61,4.78,3.18,7.44,11.75,1.67,1.42,2.89,9.5,6.95,2.47,1.69,2.97,0.07,0.99,2.54,4.17,-0.98,4.86,2.76,0.45,4.73,9.49,0.53,1.73,-0.06,4.23,5.6,3.2,9.81,9.78,9.3,5.92,0.91,-2.74,2.49,5.22,5.86,7.24,-0.96,1.47,3.64,1.78
199306,-0.01,-1.93,0.58,2.01,3.56,-2.5,-1,1.87,-12.14,1.23,-1.1,-3.7,-4.19,-0.56,-4.38,-0.7,-0.1,1.36,-5.92,2.05,2.86,3.84,1.58,2.83,0.62,-1.1,3.18,4.64,4.77,-0.45,-4.79,0.16,4.09,-0.89,-1.31,-0.98,-1.28,-0.08,-3.47,-4.45,5.14,1.93,3.26,5.06
199307,1.15,-5.17,7.87,0.01,1.14,-2.06,0.51,-2.15,-4.16,1.9,-4.8,-7.28,1.05,1.18,-2.95,-0.9,1.82,-2.5,-2.65,0.12,2.26,2.73,3.54,8.87,0.28,0.46,1.95,2.15,3.91,2.08,-8.17,-8.5,1.31,-0.18,-1.7,-3.21,3.82,1.22,0.12,1.82,1.2,3.45,-2.36,3.43
199308,4.89,5.37,15.46,2.15,7.85,7.21,3.38,3.7,2.25,-3.03,-0.17,4.55,3.26,8.75,8.8,4.58,7.09,2.78,9.76,7.68,0.34,-0.72,3.2,-11.06,-5.27,4.22,3.67,5.47,3.05,4.5,4.29,2.84,11.15,6.87,2.8,-1.52,4.34,4.6,3.69,4.91,1.12,4.49,5.19,5.71
199309,0.45,-2.17,-8.48,-1.49,3.28,7.36,-0.65,-1.77,-4.31,6.36,-1.79,0.65,-2.4,0.24,-3.29,-0.51,-3.16,-4.34,-2.25,-1.85,-0.89,0.66,-1.34,-10.69,-7.57,1.43,-0.63,-0.48,2.55,2.29,-2.99,6.24,2.56,-2.71,-4.2,3.65,-1.16,-0.79,-0.34,0.84,3.29,0.61,3.82,3.93
199310,-1.31,9.28,-0.72,2.13,1.72,3.13,7.86,7.42,6.91,9.34,5.85,5.54,2.61,3.87,2.19,3.84,-1.02,4.29,12.93,3.3,0.88,9.21,0.55,9.4,4.52,-1.87,-1.96,2.59,3.09,2.82,6.37,2.64,-2.42,-0.99,1.66,-10.66,3.25,2.35,4.8,5.55,-4.64,-2.9,1.99,-3.5
199311,-1.45,0.9,-2.38,-0.44,-0.06,-3.49,0.35,1.42,1.6,0.85,-1.55,1.61,1.16,-1.62,0.14,4.18,-1.19,0.32,-2.5,-2.23,0.43,1.74,2.46,-2.44,-0.93,-5.89,-5.51,-6.04,-5.36,-2.9,6.21,0.2,-4.55,-2.12,6.63,4.11,1.61,-1.06,1.47,-0.32,-3.18,-4.72,-1.44,-3.61
199312,5.95,-0.74,11.22,4.24,-7,1.93,3.22,1.68,0.05,11.73,2.1,1.18,2.99,4.16,0.57,0.95,3.69,6.85,0.14,4.19,7.02,4.48,6.83,12.29,16.95,0.52,1.61,-0.44,4.85,3.11,4.64,-0.81,3.05,6.78,2.89,6.03,2.17,3.01,-3.83,3.91,3.38,1.52,3.4,0.84
199401,5.15,1.45,4.3,-4.93,2.04,4.82,-0.62,2.47,0.58,10.26,6.47,-0.22,7.95,3.11,-6.77,2.95,4.51,10.44,4.43,4.74,3.13,8.54,2.36,-1.88,7.61,4.87,-1.22,2.01,0.25,3.03,5.01,5.21,4.76,2.49,7.1,2.79,4.69,2.72,0.05,2.52,4.91,3.43,2.7,3.94
199402,2.61,-2.61,3.37,1.63,5.72,-1.91,-3.41,-1.21,2.62,0.9,-6.42,-6.41,-0.89,-2.35,0.53,-0.71,-5.52,-3.24,-1.5,0.99,-1.31,-4.84,1.96,-0.59,-2.49,-2.97,-4.95,-5.53,0.6,-2.43,0.58,2.5,2.59,2.37,-1.67,-2.41,-4.54,-0.82,2.84,1.74,-3.75,-4.39,-5.2,-4.16
199403,-7.88,-3.8,-10.8,-3.17,-6.45,-9.53,-4.05,-5.04,-0.31,-4.64,-6.42,-7.12,-3.15,-5.74,-0.56,-6.35,-3.82,-5.74,-6.21,-3.23,-4.28,-6.88,-4.54,5.24,-1.76,-3.61,-3.93,-3.74,-5.09,-4.89,-4.55,-4.98,-2.25,-5.6,-7.24,2.44,-6,-5.7,-4.31,-6.97,-2.9,-3.6,-2.2,-4.18
199404,-1.64,1,2.24,1.83,0.09,-3.45,-1.36,1.64,-1.14,-0.09,-1.98,3.63,2.54,1.2,2.76,0.17,-2.76,-0.98,0.8,-1.21,-3.8,0.13,-0.12,-12.77,-5.32,4.13,2.11,1.42,-2.21,0.45,-2.25,0.95,-2.9,-1.77,-0.54,-1.99,-0.33,-0.44,0.23,2,4.59,-0.07,-6.89,2.39
199405,-0.76,-0.65,-1.74,-2.17,0.57,1.65,1.16,0.92,-1.43,3.74,3.89,4.55,3.57,-1.06,-5.41,2.14,-3.46,3.53,7.68,-3.16,3.38,-2.07,3.02,1.19,2.98,0.89,-5.35,1.66,-0.04,1.1,0.24,6.89,1,0.88,3.22,3.54,-2.01,0.43,-2.52,-1.02,5.39,3.58,-1.86,2.93
199406,-3.94,1.35,-5.84,-4.58,-5.58,-3.86,-4.36,-3.25,-2.39,-9.06,-3.11,-2.93,-2.65,-2.06,-5.49,-4.35,-0.02,1.01,0.33,-2.16,-5.11,-3.44,-1.9,-3.58,-5.09,-2.7,-3.13,0.71,-3.93,-2.91,-7.2,-6.04,-3.56,-2.91,-1.38,-1.81,-2.17,-4.22,-1.66,-6.86,-2,-3.21,-4.6,-2.98
199407,0.49,2.58,0.57,5.49,1.5,2.38,1.61,2.72,2.22,3.44,2.15,0.41,4.09,4.82,-0.02,4.73,1.61,6.76,-0.69,4.59,7.37,4.28,0.41,-1.13,3.29,3.33,5.16,3.2,2.75,2.42,4.13,-0.15,6.52,3.56,7.35,-2.46,1.6,2.25,0.89,-0.99,2.04,4.36,-0.47,1.74
199408,4.91,8.22,-7.81,5.17,4.15,3.55,3.5,6.95,5.66,8.26,11.29,11.08,6.11,4.22,3.83,6.26,-1.33,5.32,5.64,4.36,0.32,-1.81,4.4,5.12,3.39,-0.06,0.66,1.16,8.01,4.86,12.26,10.37,7.3,6.48,6.19,1.32,1.98,3.56,4.56,4.34,3.7,2.39,8.2,5.86
199409,-2.66,0.41,-1.47,2.49,-1.61,-3.97,-3.28,-1.2,-2.63,2.11,2.25,1.56,-1.09,-2.84,-5.8,-2.46,-4.36,0.44,-5.04,-3.17,-1.96,-5.42,-5.36,8.18,4.38,-2.07,-2.78,-1.1,-0.98,-0.24,0.52,0.9,-2.32,-0.83,0.24,4.36,-6.91,-0.94,-2.49,-3.5,-6.34,-2.49,0.71,-4.85
199410,-2.36,2.28,4.94,3.74,6.21,-1.26,0.94,1.18,2.42,-1.71,-1.77,1.82,0.26,2.5,-0.33,0.33,0.52,-3.78,-2.94,3.44,1.29,-1.14,2.46,-10.75,-7.06,7.4,1.56,-0.09,-0.9,1.59,9.68,9.98,6.19,0.12,-3.83,2.31,2.28,0.18,1.14,3.84,0.19,0.46,-0.73,0.64
199411,-2.29,-1.97,-3.39,0.87,-7.84,0.58,-2.07,-2.26,-3.88,-5.84,1,1.45,-7.88,-4.05,-2.92,-4.32,-6.94,-8.58,0.25,-7.8,-5.43,-5.08,-2.87,-11.92,-8.07,-4.83,0.26,-5.45,-9.7,-4.12,-1.56,-1.52,-2.6,-3.77,-4.27,-6.44,-4.56,-3.98,-2.48,-5.39,-6.84,-3.45,-3.75,-4.8
199412,0.27,1.55,1.6,1.9,-4.73,4.94,2.68,1.09,1.59,-0.71,3.39,0.24,3.73,3.35,2.1,1.55,-0.82,4.47,-0.64,1.95,9.25,4.74,5.17,2.24,3.52,-1,0.35,0.9,5.05,2.22,2.96,1.67,2.57,3.42,4.07,1.55,-0.23,2.33,-4.91,1.34,-0.21,3.98,-1.98,0.2
199501,7.87,2.1,6.11,2.84,0.09,7.93,0.14,2.73,-4.13,5.07,5.76,6.4,-2.72,-0.78,0,0.9,4.5,-5.91,4.9,-0.23,0.5,-6.2,0.24,-10.9,-1.7,0.38,6.23,4.2,0.12,0.16,-2.77,-1.71,0.87,1.76,-1.6,2.99,3.36,0.49,0.83,7.15,6.05,5.76,-0.77,4.07
199502,-5.12,1.49,5.14,4.87,4.26,3.9,5.24,3.33,2.07,2.61,2.29,2.17,5.9,5.55,3.58,4.98,4.23,3.42,4.46,5.38,5.97,4.89,6.21,5.09,3.8,4.5,0.82,1.51,3.46,5.86,5.27,7.74,7.99,5.89,8.46,5.66,7.47,5.4,2.13,3.16,6.64,2.25,8.35,6.33
199503,6.16,3.53,1.81,2.4,2.04,4.56,1.37,1.97,2.47,5.22,6.24,1.69,5.63,3.56,-4.61,2.62,-2.74,2.15,5.4,5.79,-0.2,1.73,7.87,18.74,4.05,5.26,-1.75,0.28,6.62,2.86,5.47,6.28,3.09,4.03,2.26,6.7,3.33,1.83,3.93,1.97,0.49,2.34,0.83,0.72
199504,4.26,3.83,2.48,3.23,-4.97,3.35,-2.49,3.99,-1.24,-2.47,3.43,3.85,3.11,-0.21,0.99,1.2,3.48,0.02,-3.91,4.83,3.01,2.46,4.16,-2.83,-0.89,2.35,2.38,1.59,0.43,1.16,9.55,6.01,10.35,4.82,1.68,-4.1,2.74,3.3,-3.48,2.51,4.08,-2.3,-0.66,3.93
199505,2,3.37,-2.73,8.42,6.13,1.44,3.78,2.58,0.61,-4.95,0.67,2.74,3.18,3.68,3.98,0.91,5.59,1.67,4.84,3,3.39,5.49,6.04,-0.33,-2.32,4.08,6.01,0.63,-4.02,-0.81,1.71,2.26,5.06,3.79,2.27,0.73,-0.52,2.18,2.8,4.05,8.11,4.45,7.1,3.97
199506,4.76,2.6,3.76,-0.13,1.76,0.63,2.94,-0.14,3.3,1.87,6.6,4.44,1.26,1.34,1.38,4.19,0.71,6.51,0.41,3.48,-0.83,1,5.11,-0.61,1.86,-3.11,-0.46,3.86,8.65,3.25,8.1,10.45,12.42,7.33,3.95,4.22,4.55,3.69,5.26,2.79,1.41,0.92,7.06,4.86
199507,3.37,-0.73,-0.88,2.39,4.65,4.19,3.29,-0.81,7.48,10.33,6.5,4.36,2.61,5.7,3.68,2.06,6.14,6.47,6.66,7.94,4.03,2.42,6.26,2,13.75,2.32,-0.38,5.14,2.44,4.48,8.66,6.07,9.52,4.96,2.71,-2.77,9.26,3.19,4.02,1.76,4.82,3,3.73,4.99
199508,3.17,1.17,5.75,-1.63,0.9,-0.63,2.31,0.96,1.01,0.33,3.86,0.62,-0.43,1.89,-1.44,0.6,3.74,-0.07,-0.52,-1.31,-0.01,0.29,-1.62,2.26,-4.82,-1.62,0.98,4.33,4.11,2.56,0.54,-0.09,-0.85,0.26,1.11,0.13,0.48,-1.22,-3.53,-3.39,5.22,5.41,-0.83,4.61
199509,7.92,8.12,5.4,9.26,-3.03,-1.19,2.41,5.37,4.7,2.9,8.22,7.99,2.9,-2.21,-2.08,4.03,-0.69,-4.11,-0.75,-3.14,6.54,-0.39,5.57,-0.88,3.5,1.31,6.24,5.63,5.45,4.89,0.37,1.53,1.57,1.75,0.69,-11.42,2.75,0.41,3.19,2.62,5.55,6.48,4.31,4.72
199510,2.96,-0.29,5.21,3.93,-5.83,-2.11,-2.61,2.77,-3.4,-3.12,-1.53,2.28,-5.75,-3.94,-8.77,-1.52,0.33,-5.89,-3.7,-3.52,-0.46,-5.41,-1.76,-12.8,-6.72,-0.21,1.48,-0.12,-0.8,-0.59,6.65,5.29,-4.98,-1.11,-2.33,-8.4,-1.69,-0.72,-8.17,1.23,-2.3,-1.04,-4.22,-2.79
199511,5.65,3.81,6.22,4.86,4.42,1.26,7.48,6.33,0.74,5.68,3.71,5.08,6.56,6.05,6.93,5.42,4,8.03,4.3,5.34,5.55,5.47,9.1,12.4,8.53,4.78,1.56,2.8,5.98,5.33,0.04,1.05,-4.47,4.58,5.91,13.51,6.18,3.09,6.88,5.71,7.1,7.37,-4.03,3.88
199512,2.63,3.62,-1.89,-0.8,-0.04,-2.47,0.84,-1.82,5.95,3.35,4.26,6.61,2.11,-3,-2.94,-1.42,8.4,-0.39,1.09,-0.7,6.67,4.59,4.14,3.09,1.17,5.78,5.06,3.94,-1.17,3.38,-3.9,-3.31,-6.62,1.31,-0.76,3.6,-1.52,2.34,-1.59,0.01,0.89,2.6,5.42,-1.36
199601,-1.07,3.78,-2.53,3.26,8.28,3.14,0.54,2.85,-2.36,7.22,5.32,5.9,5.43,3.14,-3.92,2.72,1.8,3.81,0.03,2.17,5.3,3.09,0.71,25.32,4.18,-0.37,1.91,2.33,-0.4,1.43,5.47,1.1,-0.83,1.39,1.46,-0.59,-0.12,-0.56,-1.46,6.57,4.35,3.2,1.64,4.45
199602,8.53,1.24,5.53,5.61,1.48,1.93,3.03,-0.44,1.87,1.41,-0.68,-1.47,2.76,2.86,0.24,-1.1,0.29,-0.65,7.35,3.57,-0.76,1.75,3.16,0.94,4.9,1.05,-2.58,-2.2,-0.08,1.97,11.35,6.25,3.77,-1.42,-2.26,7.91,4.18,3.05,5.53,3.42,2.72,1.32,3.89,2.17
199603,-1.4,-4.22,7.44,1.9,-0.45,1.77,0.92,1.3,11.49,1.7,0.39,0.01,5.88,3.61,2.68,0.89,1.95,5.43,-2.25,2.03,3.02,5.87,4.02,-0.23,-0.59,4.98,-0.47,-1.87,4.83,3.41,-8.02,-0.68,-2.27,2.19,2.87,4.29,3.26,2.42,8.25,0.83,3.14,-2.51,6.69,2.33
199604,5.95,-0.59,-1.05,-0.89,0.84,3.05,2.8,3.88,5.41,0.82,-1.5,-0.63,-0.87,0.92,3.46,4.19,-0.59,1.92,8.79,3.4,0.38,2.99,0.55,0.99,1.2,3.45,-2.59,2.7,7.52,5.4,9.79,9.99,12.69,4.93,3.23,-0.39,2.65,4.68,4.36,2.71,-1.31,-1.27,-0.64,0.55
199605,-1.88,5.87,4.94,9.69,4.09,2.23,3.23,3.25,8.05,1.55,2.73,4.48,-0.37,4.18,5.77,3.53,1.64,-0.05,5.14,1.01,6.18,1.38,2.87,4.77,0.57,0.44,1.35,0.06,5.94,4.03,3.52,3.07,5.28,2.25,0.89,5.05,-0.28,3.89,5.11,0.41,2.02,0.17,3.01,2.63
199606,-0.48,2.46,4.04,6.54,-1.74,-2.97,0.46,1.22,0.12,-1.99,-3.56,0.65,-2.35,1.4,0.98,1.31,-1.18,-5.59,0.43,-4.88,3.15,-5.27,1.05,-17,-3.66,0.91,5.21,0.43,-2.51,-1.09,-7.04,-1.01,-6.88,-1.52,-1.35,-1.16,-1.43,-3.93,-1.08,-0.51,-0.07,1.5,-0.96,1.19
199607,-4.95,-2.29,-2.19,-5.78,-10.67,-12.33,-6.65,-3.32,-4.33,-9.64,-9.43,-4.93,-3.01,-3.7,-3.59,-4.08,-8.26,-5.74,-5.22,-8.33,-4.76,-3.92,-1.15,-0.39,-5.89,-4.66,-5.82,-8.54,-6.42,-6.79,-5.89,-8.99,-8.86,-6.96,-1.83,-2.15,-7.18,-7.59,-7.62,-7.66,-0.47,-5.17,-11.14,-4.02
199608,3.1,-1.07,9.4,2.14,1.87,-0.41,3.62,1.69,5.77,7.04,5.43,3.59,3.71,3.55,3.57,3.16,3.58,5.77,7.4,4.6,1.65,3.29,4.14,4.99,0.67,2.97,2.89,-0.92,3.29,3.37,5.1,2.55,5.74,3.74,4.51,1.12,3.12,3.87,6.89,3.55,4.44,3.97,8.45,3.39
199609,4.21,9.06,8.92,0.73,7.03,7.62,2.79,6.34,7.15,3.31,10.08,7.43,5.92,2.75,-0.01,7.77,-1.21,1.98,1.48,6.44,10.01,1.07,4.88,-8.23,2.48,3.99,0.67,1.52,7.93,4.52,12.12,10.9,10.62,4.51,5.01,2.55,1.62,4.71,3.29,0.35,6.44,5.01,2.89,5.08
199610,5.85,2.58,-2.41,0.78,-0.43,-2.26,1.21,1.05,-0.25,-6.85,-5.2,0.97,1.47,0.55,-1.27,0.88,3.38,-0.74,-2.12,-1.34,5.71,0.25,2.87,-2.82,0.67,5.85,3.61,-0.73,-4.04,-3.83,-0.87,-1.17,-0.73,-3.7,3.49,-1.25,2.09,0.17,-1.96,-3.94,7.2,3.68,-2.6,2.81
199611,1.18,6.21,3.03,2.74,6.5,9.14,5.4,5.4,-0.49,5.52,2.29,7.54,5.11,9.84,0.72,2.34,6.3,7.98,4.15,8.77,6.99,6.59,4.46,0.24,4.89,5.53,2.61,5.65,5.6,1.22,15.06,8.55,14.19,10.84,4.79,7.97,6.71,5.02,2.1,4.07,9.37,7.22,-1.59,7.92
199612,0.38,-2.65,4.63,0.52,-7.85,-5.77,-1.68,0.39,2.65,2.73,1.55,-4,-2.07,-2.34,1.75,3.12,-1.01,-1.53,0.47,-1,-2.99,-3.39,5.8,-1.39,-3.97,0.78,0.14,2.63,-3.01,-1.31,-5.31,-2.7,-0.29,0.35,-0.51,8.4,-1.34,-0.08,-4.31,-3.23,-3.46,0.34,-7.43,1.94
199701,4.76,2.35,11.1,11.36,2.93,3.88,0.62,6.43,6.44,2.49,4.5,11.31,3.78,0.26,5.5,4.89,11.33,4.94,3.22,5.34,4.29,3.8,1.78,-6.26,0.19,4.31,0.9,2.34,3.94,0.88,6.7,8.05,15.36,4.81,1.45,-0.08,2.38,0.2,0.34,1.61,7.84,4.84,4.89,5.82
199702,0.55,2.71,6.93,2.74,-0.24,-0.27,2.64,2.87,3.12,2.11,-1.28,1.16,1.1,0.03,2.21,-1.55,-8.08,0.54,-3.08,-1.76,-0.95,0,-1.62,21.93,10.88,-5.7,-0.57,2.28,-3.27,-1.95,-8.09,-6.8,-9.37,-0.98,5.03,3.57,-1.05,-0.89,5.63,-3.15,4.15,3,9.96,5.44
199703,-5.83,-0.74,-3.88,-6.53,-1.08,-4.14,0.07,-6.06,-5.66,-11.44,-7.41,-6.93,-2.16,-3.93,-2.84,-5.6,-4.18,-4.54,-2.64,-2.03,-2.99,-4.81,-0.88,-15.48,-5.28,5.23,-2.76,-7.6,-3.01,-4.12,-7.16,-6.9,-2.63,-7.36,-5.74,2.46,-0.2,-6.57,-0.55,1.65,-7.84,-4.36,-9.74,-7.09
199704,6.64,3.26,1.67,11.37,4.06,2.16,-0.76,8.45,-4.1,1.69,2.17,7.27,3.24,3.92,-3.34,9.05,1.94,2.27,0.31,4.2,9.96,2.26,0.63,-10.07,-1.32,0.03,-1.39,2.54,4.69,1.75,6.64,14.98,5.55,6.41,3.04,6.7,5.66,0.54,1.72,6.11,6.66,5.95,-12.48,5.55
